dataset,trees,step,label,kernel,hdr_p50_us,hdr_mean_us,hdr_p90_us,hdr_p99_us,gb_real_time_us,hdr_p50_over_gb,hdr_mean_over_gb,gb_iterations,hdr_cfg,gb_cfg,hdr_name,gb_name,hdr_path,gb_path
epsilon,5000,step0,Step 0: Naive Persistent,traversal,13.311,31.1628756,14.751,26.991,23.753078613501817,0.5603905168079438,1.3119510151533065,28621,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
epsilon,5000,step0,Step 0: Naive Persistent,bitmask,36.031,82.19437184,37.215,2312.191,53.178595989810674,0.6775470342786738,1.5456288439008228,11970,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
higgs,500,step1,Step 1: Mapped Input,traversal,5.723,6.3385788000000005,6.131,7.019,6.242878904820365,0.916724493179109,1.0153294492234572,112647,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,500,step1,Step 1: Mapped Input,bitmask,10.359,11.42465316,10.759,16.231,10.93216420935796,0.9475708379071611,1.0450495383357365,61787,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,1000,step1,Step 1: Mapped Input,traversal,6.243,6.881633979999999,6.699,9.863,6.63632349740304,0.9407317172592692,1.036964816843687,107123,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,1000,step1,Step 1: Mapped Input,bitmask,10.535,11.55119456,10.991,17.071,11.428301543732472,0.921834269045659,1.0107533928639576,60827,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,2000,step1,Step 1: Mapped Input,traversal,9.103,9.96043976,9.895,16.415,9.843061432639745,0.9248138968039262,1.011924981690252,71086,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,2000,step1,Step 1: Mapped Input,bitmask,13.759,15.0875078,14.695,25.167,14.630618071798484,0.9404250683381185,1.0312283271943379,46404,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,5000,step1,Step 1: Mapped Input,traversal,26.687,29.16767744,29.519,43.455,27.7108894550695,0.9630510071959388,1.052570957251031,24723,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
higgs,5000,step1,Step 1: Mapped Input,bitmask,37.407,40.79684752,40.959,211.327,38.160084003682265,0.9802651376865523,1.0690974243155047,18035,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
