dataset,trees,family,mode,worker,buffer,threads,bt,transposed,bitmask,cached,mapped,devreduce,crossreduce,features,real_time_ns,cpu_time_ns,iterations,items_per_second,name
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,1,0,,28,8688.67736720506,8688.001879487305,79809,115092.31586552465,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,1,0,,28,8496.287192807937,8495.738209253024,80190,117698.46961464472,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,1,0,,28,13168.55715790382,13166.88774420741,53387,75938.46372150164,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,1,0,,28,11164.907349844527,11163.841175716321,62396,89566.35005250851,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,0,1,,28,13561.74471737848,13559.81805889112,49549,73736.82522710858,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,0,1,,28,13370.124156779377,13369.569196173105,52474,74793.62108189144,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,0,1,,28,18303.22945048778,18301.768715453825,39259,54635.167127479246,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,0,1,,28,16445.221881614398,16443.612142769507,40765,60807.936019275636,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,1,1,,28,11495.52598814359,11494.62718793268,59931,86990.36486293828,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,1,1,,28,11230.888090295974,11229.383813581333,61496,89040.15354440652,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,1,1,,28,15727.213660258516,15725.41448885915,44655,63584.05383192095,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,1,1,,28,14007.978360274758,14005.655460320566,49585,71387.88869319654,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,0,0,0,0,0,28,13699.206183901753,13698.82516707963,53268,72996.93037506966,cuda/persistent/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,0,0,0,0,0,28,12876.919782307097,12875.738581308346,54078,77658.32333397007,cuda/persistent/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
