dataset,trees,bt,step,kernel,real_time_us,name
epsilon,2000,1024,step4,bitmask,29.12055091412397,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step5,bitmask,9.705514004485435,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:2000/real_time
epsilon,5000,1024,oneshot,traversal,15.920096548176733,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,5000,1024,oneshot,bitmask,23.588951084485974,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step0,traversal,23.753078613501817,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,5000,1024,step0,bitmask,53.178595989810674,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step1,traversal,19.03490375968282,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,5000,1024,step1,bitmask,40.20089547163036,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step2,traversal,13.886276873595023,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,5000,1024,step2,bitmask,35.08809127049541,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step3,traversal,11.155714901537564,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,5000,1024,step3,bitmask,33.19889626682872,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step4,traversal,10.665851302417407,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,5000,1024,step4,bitmask,32.98410040896927,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step5,bitmask,14.843021986685345,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:4/nodestride:1/features:2000/real_time
